iter	Passed	Remaining
285	6538	16322
286	6564	16309
287	6592	16299
288	6616	16278
289	6644	16266
290	6664	16236
291	6687	16213
292	6708	16187
293	6733	16169
294	6754	16142
295	6774	16112
296	6797	16089
297	6821	16070
298	6846	16051
299	6870	16031
300	6888	15998
301	6912	15976
302	6934	15951
303	6959	15933
304	6981	15909
305	7004	15885
306	7025	15857
307	7049	15839
308	7072	15814
309	7093	15788
310	7118	15770
311	7138	15741
312	7155	15704
313	7178	15682
314	7199	15655
315	7216	15620
316	7243	15607
317	7265	15582
318	7289	15562
319	7311	15536
320	7331	15508
321	7356	15489
322	7382	15472
323	7406	15452
324	7425	15422
325	7439	15381
326	7460	15354
327	7483	15332
328	7506	15309
329	7529	15286
330	7554	15268
331	7574	15240
332	7600	15224
333	7622	15198
334	7642	15171
335	7664	15145
336	7685	15119
337	7707	15095
338	7728	15068
339	7752	15048
340	7771	15019
341	7793	14994
342	7819	14977
343	7839	14949
344	7863	14929
345	7886	14906
346	7908	14882
347	7929	14856
348	7943	14816
349	7968	14798
350	7990	14774
351	8010	14746
352	8033	14725
353	8059	14707
354	8083	14686
355	8103	14660
356	8126	14636
357	8150	14615
358	8174	14596
359	8194	14568
360	8216	14543
361	8240	14523
362	8264	14502
363	8284	14475
364	8306	14450
365	8327	14426
366	8351	14404
367	8372	14378
368	8396	14357
369	8417	14333
370	8437	14304
371	8460	14282
372	8479	14254
373	8499	14227
374	8525	14209
375	8548	14187
376	8569	14161
377	8594	14141
378	8618	14121
379	8640	14097
380	8666	14080
381	8687	14055
382	8711	14034
383	8734	14010
384	8755	13986
385	8778	13964
386	8800	13940
387	8822	13915
388	8848	13898
389	8876	13883
390	8902	13865
391	8926	13844
392	8949	13823
393	8974	13803
394	8999	13783
395	9027	13769
396	9050	13747
397	9072	13723
398	9098	13704
399	9119	13679
400	9142	13656
401	9162	13630
