appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
2780,ARMA: Combat Operations,Bohemia Interactive,Bohemia Interactive,,179,79,0,"20,000 .. 50,000",369,0,308,0,0.0,0.0,0.0,1
2800,X2: The Threat,Egosoft,Egosoft,,412,85,0,"200,000 .. 500,000",432,0,153,0,499.0,499.0,0.0,7
2810,X3: Reunion,Egosoft,Egosoft,,494,191,0,"500,000 .. 1,000,000",234,0,45,0,199.0,999.0,80.0,8
2820,X3: Terran Conflict,Egosoft,Egosoft,,2383,408,0,"500,000 .. 1,000,000",999,0,120,0,1599.0,1599.0,0.0,32
2870,X Rebirth,Egosoft,Egosoft,,3166,4102,0,"500,000 .. 1,000,000",1735,0,475,0,2999.0,2999.0,0.0,7
2910,Fleet Command,Sonalysts,Strategy First,,400,57,0,"50,000 .. 100,000",278,0,269,0,199.0,999.0,80.0,7
2920,Sub Command,Sonalysts,,,98,36,0,"50,000 .. 100,000",303,0,577,0,999.0,999.0,0.0,2
2990,FlatOut 2,"Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group",Strategy First,,17923,737,0,"500,000 .. 1,000,000",523,80,136,90,999.0,999.0,0.0,85
3020,Call of Juarez,Techland,Techland Publishing,,3221,789,0,"500,000 .. 1,000,000",230,0,104,0,999.0,999.0,0.0,14
3130,Men of War: Red Tide,Fulqrum Publishing,Fulqrum Publishing,,705,121,0,"100,000 .. 200,000",499,0,199,0,74.0,499.0,85.0,10
3170,King's Bounty: Armored Princess,Katauri Interactive,Fulqrum Publishing,,1116,115,0,"200,000 .. 500,000",1139,0,730,0,999.0,999.0,0.0,47
3260,Safecracker: The Ultimate Puzzle Adventure,Kheops Studio,HandyGames,,362,251,0,"100,000 .. 200,000",52,0,72,0,499.0,499.0,0.0,1
3300,Bejeweled 2 Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,601,35,0,"50,000 .. 100,000",345,0,458,0,499.0,499.0,0.0,41
3310,Chuzzle Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,1204,79,0,"100,000 .. 200,000",260,0,46,0,499.0,499.0,0.0,66
3320,Insaniquarium Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,5732,191,0,"500,000 .. 1,000,000",405,4,127,4,499.0,499.0,0.0,60
3330,Zuma Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,5144,253,0,"500,000 .. 1,000,000",906,38,109,56,99.0,499.0,80.0,658
3340,AstroPop Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,94,22,0,"50,000 .. 100,000",4,0,7,0,499.0,499.0,0.0,0
3350,Bejeweled Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,236,32,0,"50,000 .. 100,000",818,0,69,0,499.0,499.0,0.0,7
3380,Dynomite Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,334,17,0,"100,000 .. 200,000",4341,0,4548,0,249.0,499.0,50.0,0
3380,Dynomite Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,334,17,0,"100,000 .. 200,000",4341,0,4548,0,249.0,499.0,50.0,0
3390,Feeding Frenzy 2 Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,2290,64,0,"100,000 .. 200,000",119,0,97,0,499.0,499.0,0.0,11
3410,Heavy Weapon Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,324,53,0,"50,000 .. 100,000",560,0,560,0,499.0,499.0,0.0,1
3440,Rocket Mania Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,71,3,0,"20,000 .. 50,000",7,0,7,0,0.0,0.0,0.0,3
3450,Typer Shark! Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,355,51,0,"50,000 .. 100,000",854,0,415,0,499.0,499.0,0.0,25
3480,Peggle Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,10634,278,0,"500,000 .. 1,000,000",576,5,179,7,499.0,499.0,0.0,291
3490,Venice Deluxe,"Retro64, Inc.","PopCap Games, Inc.",,18,3,0,"0 .. 20,000",2262,0,2262,0,0.0,0.0,0.0,1
3500,Mystery P.I. - The Lottery Ticket,SpinTop Games,"PopCap Games, Inc.",,54,11,0,"20,000 .. 50,000",0,0,0,0,499.0,499.0,0.0,3
3510,Amazing Adventures The Lost Tomb,SpinTop Games,"PopCap Games, Inc.",,70,17,0,"20,000 .. 50,000",70,0,70,0,499.0,499.0,0.0,4
3520,Mystery P.I. - The Vegas Heist,SpinTop Games,"PopCap Games, Inc.",,55,11,0,"20,000 .. 50,000",0,0,0,0,499.0,499.0,0.0,1
3540,Peggle Nights,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,2608,91,0,"200,000 .. 500,000",690,182,118,182,499.0,499.0,0.0,103
3560,Bejeweled Twist,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,457,93,0,"50,000 .. 100,000",327,0,531,0,499.0,499.0,0.0,16
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,136574,3351,0,"2,000,000 .. 5,000,000",1873,311,642,105,499.0,499.0,0.0,2656
3600,Escape Rosecliff Island,SpinTop Games,"PopCap Games, Inc.",,213,86,0,"50,000 .. 100,000",335,0,497,0,99.0,499.0,80.0,24
3610,Mystery P.I. - Lost in Los Angeles,SpinTop Games,,,43,11,0,"20,000 .. 50,000",0,0,0,0,499.0,499.0,0.0,5
3620,Zuma's Revenge!,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,2688,140,0,"200,000 .. 500,000",1580,41,256,60,499.0,499.0,0.0,205
3700,Sniper Elite,Rebellion,Rebellion,,2906,890,0,"500,000 .. 1,000,000",264,0,68,0,319.0,799.0,60.0,21
3720,Evil Genius,Elixir Studios,Rebellion,,3272,234,0,"200,000 .. 500,000",1155,0,168,0,999.0,999.0,0.0,13
3730,Aliens versus Predator Classic 2000,Rebellion,Rebellion,,2311,327,0,"200,000 .. 500,000",109,0,39,0,499.0,499.0,0.0,7
3810,BloodRayne (Legacy),Terminal Reality,Ziggurat,,473,130,0,"50,000 .. 100,000",171,0,216,0,0.0,0.0,0.0,0
3820,BloodRayne 2 (Legacy),Terminal Reality,Ziggurat,,316,122,0,"50,000 .. 100,000",197,0,255,0,0.0,0.0,0.0,1
3830,Psychonauts,Double Fine Productions,Double Fine Productions,,17040,885,0,"1,000,000 .. 2,000,000",453,2541,210,2541,999.0,999.0,0.0,56
3900,Sid Meier's Civilization IV,Firaxis Games,2K,,3134,241,0,"1,000,000 .. 2,000,000",613,0,59,0,399.0,1999.0,80.0,620
3910,Sid Meier's Civilization III Complete,Firaxis Games,2K,,6485,746,0,"1,000,000 .. 2,000,000",509,7,35,7,499.0,499.0,0.0,1383
